phase,agent,holding,backlog,rung
pre,ds1,3385.65,0.0,a
pre,ds2,3385.65,0.0,a
pre,mn1,2732.65,0.0,a
pre,mn2,2732.65,0.0,a
pre,hc1,2174.15,227.5,a
pre,hc2,2196.6,209.5,a
during,ds1,161.25,903408.0,a
during,ds2,695.45,24728.5,a
during,mn1,53.8,1059847.0,a
during,mn2,464.85,14929.5,a
during,hc1,71.5,204504.5,a
during,hc2,55.0,366581.5,a
post,ds1,11369.75,409126.0,a
post,ds2,17564.85,1276.5,a
post,mn1,3230.25,360320.0,a
post,mn2,10210.8,1174.5,a
post,hc1,31074.7,57162.5,a
post,hc2,33656.65,189116.5,a
pre,ds1,3384.8,0.0,c
pre,ds2,3384.8,0.0,c
pre,mn1,2733.3,0.0,c
pre,mn2,2733.3,0.0,c
pre,hc1,2174.0,225.0,c
pre,hc2,2196.5,213.5,c
during,ds1,161.2,275894.5,c
during,ds2,249.2,88246.0,c
during,mn1,53.85,440732.5,c
during,mn2,215.2,37836.0,c
during,hc1,2581.8,52488.0,c
during,hc2,2643.95,53145.5,c
post,ds1,6753.45,62078.0,c
post,ds2,32287.4,1548.0,c
post,mn1,3246.1,53969.0,c
post,mn2,20284.3,2980.0,c
post,hc1,35810.8,106.5,c
post,hc2,36211.0,137.0,c
pre,ds1,3385.7,0.0,d
pre,ds2,3385.7,0.0,d
pre,mn1,2732.1,0.0,d
pre,mn2,2732.1,0.0,d
pre,hc1,2173.25,225.5,d
pre,hc2,2196.3,209.5,d
during,ds1,11766.25,0.0,d
during,ds2,1988.4,69698.5,d
during,mn1,131.6,37464.0,d
during,mn2,850.9,29399.0,d
during,hc1,4020.45,18641.0,d
during,hc2,4059.9,18484.5,d
post,ds1,7553.8,41257.0,d
post,ds2,21291.6,0.0,d
post,mn1,3813.6,21646.0,d
post,mn2,14642.55,0.0,d
post,hc1,12265.45,248.0,d
post,hc2,12621.25,322.0,d
