pre_holding_cost,pre_backlog_cost,pre_system_cost,pre_profit_psc,pre_fill_hc1,pre_fill_hc2,pre_fill_agg,pre_fill_dispersion,pre_lost_u,during_holding_cost,during_backlog_cost,during_system_cost,during_profit_psc,during_fill_hc1,during_fill_hc2,during_fill_agg,during_fill_dispersion,during_lost_u,post_holding_cost,post_backlog_cost,post_system_cost,post_profit_psc,post_fill_hc1,post_fill_hc2,post_fill_agg,post_fill_dispersion,post_lost_u,episode_holding_cost,episode_backlog_cost,episode_system_cost,episode_profit_psc,episode_fill_hc1,episode_fill_hc2,episode_fill_agg,episode_fill_dispersion,episode_lost_u,peak_backlog_ds1,peak_backlog_ds2,peak_backlog_system,aub_ds1_during_post,ttr_ds1,rule,seed
17357.0,150.0,17507.0,158193.0,1.0,1.0,1.0,0.0,0,5591.0,955860.0,961451.0,-780276.0,1.0,1.0,1.0,0.0,0,135374.0,123500.0,258874.0,249351.0,1.0,1.0,1.0,0.0,0,158322.0,1079510.0,1237832.0,-372732.0,1.0,1.0,1.0,0.0,0,1012.0,576.0,2905.0,34007.0,7,proportional,11
16261.0,690.0,16951.0,159079.0,1.0,1.0,1.0,0.0,0,6153.0,947840.0,953993.0,-774003.0,1.0,1.0,1.0,0.0,0,134029.0,122180.0,256209.0,252651.0,1.0,1.0,1.0,0.0,0,156443.0,1070710.0,1227153.0,-362273.0,1.0,1.0,1.0,0.0,0,1007.0,580.0,2917.0,33972.0,7,proportional,12
15856.0,440.0,16296.0,161414.0,1.0,1.0,1.0,0.0,0,5820.0,939860.0,945680.0,-766285.0,1.0,1.0,1.0,0.0,0,133528.0,119940.0,253468.0,253362.0,1.0,1.0,1.0,0.0,0,155204.0,1060240.0,1215444.0,-351509.0,1.0,1.0,1.0,0.0,0,1003.0,558.0,2873.0,33646.0,7,proportional,13
16002.0,570.0,16572.0,158828.0,1.0,1.0,1.0,0.0,0,5439.0,944980.0,950419.0,-770264.0,1.0,1.0,1.0,0.0,0,136239.0,118480.0,254719.0,254461.0,1.0,1.0,1.0,0.0,0,157680.0,1064030.0,1221710.0,-356975.0,1.0,1.0,1.0,0.0,0,998.0,554.0,2853.0,33383.0,7,proportional,14
16815.0,380.0,17195.0,158770.0,0.9994972347913524,1.0,0.9997494571571739,-0.0005027652086475598,0,6193.0,968440.0,974633.0,-793178.0,1.0005210142410559,1.0,1.000259965337955,0.0005210142410558838,0,135162.0,120150.0,255312.0,253133.0,1.0,1.0,1.0,0.0,0,158170.0,1088970.0,1247140.0,-381275.0,1.0,1.0,1.0,0.0,0,1016.0,583.0,2978.0,34379.0,7,proportional,15
16781.0,320.0,17101.0,157874.0,1.0,1.0,1.0,0.0,0,5581.0,939180.0,944761.0,-765201.0,1.0,1.0,1.0,0.0,0,133044.0,120400.0,253444.0,255511.0,1.0,1.0,1.0,0.0,0,155406.0,1059900.0,1215306.0,-351816.0,1.0,1.0,1.0,0.0,0,1001.0,562.0,2848.0,33602.0,7,proportional,16
16303.0,170.0,16473.0,158767.0,1.0,1.0,1.0,0.0,0,5838.0,962320.0,968158.0,-786183.0,1.0,1.0,1.0,0.0,0,136417.0,121150.0,257567.0,248783.0,1.0,1.0,1.0,0.0,0,158558.0,1083640.0,1242198.0,-378633.0,1.0,1.0,1.0,0.0,0,1008.0,590.0,2954.0,34036.0,7,proportional,17
16447.0,990.0,17437.0,158403.0,1.0,1.0,1.0,0.0,0,5850.0,945710.0,951560.0,-771515.0,1.0,1.0,1.0,0.0,0,133676.0,124770.0,258446.0,249789.0,1.0,1.0,1.0,0.0,0,155973.0,1071470.0,1227443.0,-363323.0,1.0,1.0,1.0,0.0,0,1007.0,545.0,2828.0,34029.0,7,proportional,18
16508.0,340.0,16848.0,159017.0,1.0,1.0,1.0,0.0,0,5986.0,944840.0,950826.0,-770411.0,1.0,1.0,1.0,0.0,0,135060.0,118410.0,253470.0,253080.0,1.0,1.0,1.0,0.0,0,157554.0,1063590.0,1221144.0,-358314.0,1.0,1.0,1.0,0.0,0,998.0,577.0,2895.0,33660.0,7,proportional,19
16209.0,630.0,16839.0,160706.0,1.0,1.0,1.0,0.0,0,6046.0,944640.0,950686.0,-769686.0,1.0,1.0,1.0,0.0,0,134697.0,121830.0,256527.0,250973.0,1.0,1.0,1.0,0.0,0,156952.0,1067100.0,1224052.0,-358007.0,1.0,1.0,1.0,0.0,0,1003.0,576.0,2913.0,33749.0,7,proportional,20
16919.0,790.0,17709.0,158606.0,1.0,1.0,1.0,0.0,0,6538.0,944200.0,950738.0,-771593.0,1.0,1.0,1.0,0.0,0,132035.0,119160.0,251195.0,255760.0,1.0,1.0,1.0,0.0,0,155492.0,1064150.0,1219642.0,-357227.0,1.0,1.0,1.0,0.0,0,1001.0,572.0,2898.0,33985.0,7,proportional,21
16920.0,260.0,17180.0,160230.0,1.0,0.9996685998342999,0.9998343273691186,0.000331400165700102,0,6259.0,946400.0,952659.0,-772474.0,1.0,1.000346680533888,1.0001741705129321,-0.0003466805338880885,0,133897.0,121110.0,255007.0,251928.0,0.999708862233609,1.0,0.9998543038638615,-0.0002911377663910031,0,157076.0,1067770.0,1224846.0,-360316.0,0.9998271391529818,1.0,0.9999136039258376,-0.00017286084701817472,0,1009.0,560.0,2890.0,33909.0,7,proportional,22
