seed,pre_holding_cost,pre_backlog_cost,pre_system_cost,pre_profit_psc,pre_fill_hc1,pre_fill_hc2,pre_fill_agg,pre_fill_dispersion,pre_lost_u,during_holding_cost,during_backlog_cost,during_system_cost,during_profit_psc,during_fill_hc1,during_fill_hc2,during_fill_agg,during_fill_dispersion,during_lost_u,post_holding_cost,post_backlog_cost,post_system_cost,post_profit_psc,post_fill_hc1,post_fill_hc2,post_fill_agg,post_fill_dispersion,post_lost_u,episode_holding_cost,episode_backlog_cost,episode_system_cost,episode_profit_psc,episode_fill_hc1,episode_fill_hc2,episode_fill_agg,episode_fill_dispersion,episode_lost_u,peak_backlog_ds1,peak_backlog_ds2,peak_backlog_system,aub_ds1_during_post,ttr_ds1,pre_bullwhip_ds1,pre_bullwhip_ds2,during_bullwhip_ds1,during_bullwhip_ds2,post_bullwhip_ds1,post_bullwhip_ds2,episode_bullwhip_ds1,episode_bullwhip_ds2,policy,premium,coverage,dp_cost
11,16247.0,390.0,16637.0,159043.0,1.0,1.0,1.0,0.0,0,5446.0,837600.0,843046.0,-662311.0,1.0,1.0,1.0,0.0,0,122646.0,103400.0,226046.0,282339.0,1.0,1.0,1.0,0.0,0,144339.0,941390.0,1085729.0,-220929.0,1.0,1.0,1.0,0.0,0,733.0,675.0,2874.0,26585.0,6,1.9577192122041245,1.9577192122041245,1.5450936063674754,1.0659799866609223,1.0739658649597081,1.1575486551963268,1.1183987944810838,1.201163977309938,compound_baseline,0.0,0.0,1069092.0
12,15286.0,740.0,16026.0,160004.0,1.0,1.0,1.0,0.0,0,6161.0,836750.0,842911.0,-663231.0,1.0,1.0,1.0,0.0,0,117501.0,96660.0,214161.0,294779.0,1.0,1.0,1.0,0.0,0,138948.0,934150.0,1073098.0,-208448.0,1.0,1.0,1.0,0.0,0,735.0,698.0,2921.0,26503.0,6,1.2687180247035532,1.2687180247035532,1.5292498397127403,1.0604279103379144,1.1608345076789435,1.1240106403011676,1.1421241723039146,1.189972747066551,compound_baseline,0.0,0.0,1057072.0
13,14717.0,490.0,15207.0,162513.0,1.0,1.0,1.0,0.0,0,5831.0,820680.0,826511.0,-647526.0,1.0,1.0,1.0,0.0,0,121633.0,101280.0,222913.0,284072.0,1.0,1.0,1.0,0.0,0,142181.0,922450.0,1064631.0,-200941.0,1.0,1.0,1.0,0.0,0,727.0,654.0,2830.0,26366.0,6,1.5133739645728188,1.5133739645728188,1.5742471716970474,1.0919285239462757,1.0755991521467667,1.1565734115260822,1.1167159096692292,1.2028023514856716,compound_baseline,0.0,0.0,1049424.0
14,15142.0,570.0,15712.0,159688.0,1.0,1.0,1.0,0.0,0,5359.0,830530.0,835889.0,-656044.0,1.0,1.0,1.0,0.0,0,126228.0,97820.0,224048.0,286057.0,1.0,1.0,1.0,0.0,0,146729.0,928920.0,1075649.0,-210299.0,1.0,1.0,1.0,0.0,0,728.0,656.0,2830.0,26608.0,6,1.8307989167230876,1.8307989167230876,1.5672569158420488,1.0990048696752537,1.139298602377016,1.0940454681415848,1.1422053610292204,1.1844337545271897,compound_baseline,0.0,0.0,1059937.0
15,15695.0,380.0,16075.0,159890.0,0.9994972347913524,1.0,0.9997494571571739,-0.0005027652086475598,0,5991.0,850470.0,856461.0,-675466.0,1.0005210142410559,1.0,1.000259965337955,0.0005210142410558838,0,122427.0,106990.0,229417.0,278973.0,1.0,1.0,1.0,0.0,0,144113.0,957840.0,1101953.0,-236603.0,1.0,1.0,1.0,0.0,0,744.0,710.0,2938.0,27467.0,6,1.4085240830755636,1.4085240830755636,1.528551358712667,1.1019255726129078,1.0386490413362734,1.155279948841836,1.0994059933980587,1.2066227530830989,compound_baseline,0.0,0.0,1085878.0
16,16005.0,320.0,16325.0,158690.0,1.0,1.0,1.0,0.0,0,5498.0,826990.0,832488.0,-653258.0,1.0,1.0,1.0,0.0,0,120358.0,108510.0,228868.0,279972.0,1.0,1.0,1.0,0.0,0,141861.0,935820.0,1077681.0,-214596.0,1.0,1.0,1.0,0.0,0,729.0,663.0,2841.0,27069.0,6,1.3072442475964134,1.3072442475964134,1.5247657587933077,1.103913514331008,1.0674738215338424,1.16732650951121,1.1064271586986532,1.2095076525609012,compound_baseline,0.0,0.0,1061356.0
17,15820.0,160.0,15980.0,159320.0,1.0,1.0,1.0,0.0,0,5727.0,847740.0,853467.0,-671992.0,1.0,1.0,1.0,0.0,0,121027.0,93820.0,214847.0,291468.0,1.0,0.999883761478554,0.9999416382152966,0.00011623852144604374,0,142574.0,941720.0,1084294.0,-221204.0,1.0,0.9999308317482276,0.9999653895407192,6.916825177238906e-05,0,735.0,726.0,2959.0,26288.0,6,1.4558622322791135,1.4558622322791135,1.5151497706829966,1.0549137634366927,1.161602484149578,1.1452782778904347,1.1436738192520663,1.1960375501511482,compound_baseline,0.0,0.0,1068314.0
18,15639.0,1010.0,16649.0,159221.0,1.0,1.0,1.0,0.0,0,5894.0,831770.0,837664.0,-657949.0,1.0,1.0,1.0,0.0,0,117423.0,96510.0,213933.0,294422.0,1.0,1.0,1.0,0.0,0,138956.0,929290.0,1068246.0,-204306.0,1.0,1.0,1.0,0.0,0,737.0,665.0,2865.0,26393.0,6,1.8332343750000004,1.8332343750000004,1.524750400663651,1.1074555820099254,1.1391225281596842,1.1573171932779922,1.1408411037371864,1.210986461891214,compound_baseline,0.0,0.0,1051597.0
19,15570.0,360.0,15930.0,159935.0,1.0,1.0,1.0,0.0,0,5858.0,839580.0,845438.0,-665333.0,1.0,1.0,1.0,0.0,0,122247.0,101680.0,223927.0,282233.0,1.0,1.0,1.0,0.0,0,143675.0,941620.0,1085295.0,-223165.0,1.0,1.0,1.0,0.0,0,736.0,685.0,2904.0,26971.0,6,1.6570971824418836,1.6570971824418836,1.5253725284361657,1.0777113889581318,1.132212039475779,1.143933019567213,1.1361534463643697,1.199850439420942,compound_baseline,0.0,0.0,1069365.0
20,15288.0,660.0,15948.0,161607.0,1.0,1.0,1.0,0.0,0,6048.0,833040.0,839088.0,-658393.0,1.0,1.0,1.0,0.0,0,121232.0,102250.0,223482.0,284048.0,1.0,1.0,1.0,0.0,0,142568.0,935950.0,1078518.0,-212738.0,1.0,1.0,1.0,0.0,0,726.0,699.0,2926.0,26589.0,6,1.1547557704757752,1.1547557704757752,1.5332245972102558,1.0604721881362977,1.1338805597241164,1.1496742217737361,1.1292585818983187,1.1950316352015669,compound_baseline,0.0,0.0,1062570.0
