policy,pre_holding_cost_mean,pre_holding_cost_sem,pre_backlog_cost_mean,pre_backlog_cost_sem,pre_system_cost_mean,pre_system_cost_sem,pre_profit_psc_mean,pre_profit_psc_sem,pre_fill_hc1_mean,pre_fill_hc1_sem,pre_fill_hc2_mean,pre_fill_hc2_sem,pre_fill_agg_mean,pre_fill_agg_sem,pre_fill_dispersion_mean,pre_fill_dispersion_sem,pre_lost_u_mean,pre_lost_u_sem,during_holding_cost_mean,during_holding_cost_sem,during_backlog_cost_mean,during_backlog_cost_sem,during_system_cost_mean,during_system_cost_sem,during_profit_psc_mean,during_profit_psc_sem,during_fill_hc1_mean,during_fill_hc1_sem,during_fill_hc2_mean,during_fill_hc2_sem,during_fill_agg_mean,during_fill_agg_sem,during_fill_dispersion_mean,during_fill_dispersion_sem,during_lost_u_mean,during_lost_u_sem,post_holding_cost_mean,post_holding_cost_sem,post_backlog_cost_mean,post_backlog_cost_sem,post_system_cost_mean,post_system_cost_sem,post_profit_psc_mean,post_profit_psc_sem,post_fill_hc1_mean,post_fill_hc1_sem,post_fill_hc2_mean,post_fill_hc2_sem,post_fill_agg_mean,post_fill_agg_sem,post_fill_dispersion_mean,post_fill_dispersion_sem,post_lost_u_mean,post_lost_u_sem,episode_holding_cost_mean,episode_holding_cost_sem,episode_backlog_cost_mean,episode_backlog_cost_sem,episode_system_cost_mean,episode_system_cost_sem,episode_profit_psc_mean,episode_profit_psc_sem,episode_fill_hc1_mean,episode_fill_hc1_sem,episode_fill_hc2_mean,episode_fill_hc2_sem,episode_fill_agg_mean,episode_fill_agg_sem,episode_fill_dispersion_mean,episode_fill_dispersion_sem,episode_lost_u_mean,episode_lost_u_sem,peak_backlog_ds1_mean,peak_backlog_ds1_sem,peak_backlog_ds2_mean,peak_backlog_ds2_sem,peak_backlog_system_mean,peak_backlog_system_sem,aub_ds1_during_post_mean,aub_ds1_during_post_sem,ttr_ds1_mean,ttr_ds1_sem,pre_bullwhip_ds1_mean,pre_bullwhip_ds1_sem,pre_bullwhip_ds2_mean,pre_bullwhip_ds2_sem,during_bullwhip_ds1_mean,during_bullwhip_ds1_sem,during_bullwhip_ds2_mean,during_bullwhip_ds2_sem,post_bullwhip_ds1_mean,post_bullwhip_ds1_sem,post_bullwhip_ds2_mean,post_bullwhip_ds2_sem,episode_bullwhip_ds1_mean,episode_bullwhip_ds1_sem,episode_bullwhip_ds2_mean,episode_bullwhip_ds2_sem,premium_mean,premium_sem,coverage_mean,coverage_sem,dp_cost_mean,dp_cost_sem
compound_baseline,15695.0,87.40390211691455,494.5,57.61704334839237,16189.5,91.29078756773237,159793.0,234.31517236406253,0.9999165866812925,6.223914378079453e-05,0.9999834299917151,1.6570008285004026e-05,0.9999498980722432,3.175580163118832e-05,-6.684331042243196e-05,6.552683919129104e-05,0.0,0.0,5818.6,73.43222439057233,833908.5,2569.387831555867,839727.1,2582.023605522163,-659791.35,2405.9777466212863,1.0000872395232416,6.52297437191683e-05,1.0000173340266945,1.733402669440379e-05,1.000052290504533,3.31415140695458e-05,6.990549654719568e-05,6.866271318035847e-05,0.0,0.0,121994.5,813.8028000495084,100816.5,1162.1541420999195,222811.0,1762.7772674778969,285560.0,1789.8845552304854,0.9999854431116806,1.4556888319550244e-05,0.9999883418301394,8.02374140829862e-06,0.999986881227008,8.044670229427423e-06,-2.8987184588824543e-06,1.7150722563129603e-05,0.0,0.0,143508.1,799.7691637361106,935219.5,2760.187205226257,1078727.6,3178.991137882717,-214438.35,3172.755851965955,0.9999913569576491,8.64304235090949e-06,0.9999930699679009,4.769584822943296e-06,0.9999922201081406,4.7705757873451745e-06,-1.7130102517859402e-06,1.0186069978796626e-05,0.0,0.0,730.95,1.8317018258841604,680.05,5.00498435772307,2882.15,10.65765724231817,26630.15,101.29771844991332,6.05,0.05,1.5371039159774713,0.05133078974091034,1.5371039159774713,0.05133078974091034,1.5415505809916632,0.004424317217026401,1.0858598112874058,0.004752170703332456,1.1266235407334453,0.010706225750826887,1.139415221089207,0.003999351168294449,1.1313710145022333,0.003405294433276449,1.1968113480664564,0.0023882948612214063,0.0,0.0,0.0,0.0,1062538.1,3154.3692687578946
d_oracle,15695.0,87.40390211691455,494.5,57.61704334839237,16189.5,91.29078756773237,159793.0,234.31517236406253,0.9999165866812925,6.223914378079453e-05,0.9999834299917151,1.6570008285004026e-05,0.9999498980722432,3.175580163118832e-05,-6.684331042243196e-05,6.552683919129104e-05,0.0,0.0,20297.75,143.6073571455021,166169.5,1451.763079663374,186467.25,1458.4495532386793,-10695.75,1353.8697828136167,0.9998348988025866,0.00016005419067264819,1.0000173340266945,1.733402669440379e-05,0.9999262889539308,8.087653903483085e-05,-0.00018243522410785196,0.00016005175135209374,0.0,0.0,61563.3,156.22263297176784,46765.5,733.2854958480037,108328.8,823.046879780119,403809.2,912.8449156346325,1.0000698893857252,4.974019444492848e-05,0.9999883418301394,8.02374140829862e-06,1.0000291120598792,2.5621188077712598e-05,8.154755558578697e-05,4.952474945447796e-05,0.0,0.0,97556.05,230.47098772776334,213429.5,1581.2935203081126,310985.55,1656.318546903279,552906.45,1625.2060621980372,0.9999913569576491,8.64304235090949e-06,0.9999930699679009,4.769584822943296e-06,0.9999922201081406,4.7705757873451745e-06,-1.7130102517859402e-06,1.0186069978796626e-05,0.0,0.0,128.0,3.162277660168379,468.8,3.4713868000828545,1060.55,7.856433836772182,2621.05,54.4905339437382,10.25,4.247522497694515,1.5371039159774713,0.05133078974091034,1.5371039159774713,0.05133078974091034,1.767692079223894,0.03713511797470932,1.1414738498313484,0.0268353324884201,1.197549445324282,0.0072210327993039135,1.1580069195482288,0.007853502887118268,1.0869858943786617,0.0013428033121161138,1.24010212068536,0.0016780709270382002,0.0,0.0,767742.05,2580.988088509187,294796.05,1633.962567172533
h1_recovery_writeoff,15695.0,87.40390211691455,494.5,57.61704334839237,16189.5,91.29078756773237,159793.0,234.31517236406253,0.9999165866812925,6.223914378079453e-05,0.9999834299917151,1.6570008285004026e-05,0.9999498980722432,3.175580163118832e-05,-6.684331042243196e-05,6.552683919129104e-05,0.0,0.0,4987.7,65.36613882786072,856425.0,2616.5436723803577,861412.7,2628.046752267789,-681534.2,2459.8065077947626,1.0000872395232416,6.52297437191683e-05,1.0000173340266945,1.733402669440379e-05,1.000052290504533,3.31415140695458e-05,6.990549654719568e-05,6.866271318035847e-05,0.0,0.0,121681.6,212.22430288928314,98838.5,630.817462545728,220520.1,721.0528300230227,287518.9,813.195962334968,0.9999854431116806,1.4556888319550244e-05,0.9999883418301394,8.02374140829862e-06,0.999986881227008,8.044670229427423e-06,-2.8987184588824543e-06,1.7150722563129603e-05,0.0,0.0,142364.3,259.41552828577727,955758.0,2808.151630333976,1098122.3,2981.457459823448,-234222.3,2936.29165167294,0.9999913569576491,8.64304235090949e-06,0.9999930699679009,4.769584822943296e-06,0.9999922201081406,4.7705757873451745e-06,-1.7130102517859402e-06,1.0186069978796626e-05,0.0,0.0,753.9,1.7089547436340906,680.05,5.00498435772307,2882.15,10.65765724231817,26854.35,92.19488155104128,6.95,0.05,1.5371039159774713,0.05133078974091034,1.5371039159774713,0.05133078974091034,1.5390893574233424,0.004426488772149794,1.075509614424488,0.0038125556528315558,1.1477147385816948,0.003925485256455264,1.1382744926460284,0.002504919553770612,1.1406131353949014,0.0014572746480301937,1.1917943339301753,0.0013551894946246088,0.0,0.0,-19394.7,1918.0425878867675,1081932.8,2948.946342250683
h1b_gamma,15695.0,87.40390211691455,494.5,57.61704334839237,16189.5,91.29078756773237,159793.0,234.31517236406253,0.9999165866812925,6.223914378079453e-05,0.9999834299917151,1.6570008285004026e-05,0.9999498980722432,3.175580163118832e-05,-6.684331042243196e-05,6.552683919129104e-05,0.0,0.0,3255.5,52.1272481529574,824936.5,2424.1563128122293,828192.0,2427.6112257027235,-650408.5,2256.909510696804,1.0000872395232416,6.52297437191683e-05,1.0000173340266945,1.733402669440379e-05,1.000052290504533,3.31415140695458e-05,6.990549654719568e-05,6.866271318035847e-05,0.0,0.0,116389.65,600.0215271357486,99518.0,873.1945584130177,215907.65,1170.1543853944636,294620.85,1224.8472348892274,0.9999854431116806,1.4556888319550244e-05,0.9999883418301394,8.02374140829862e-06,0.999986881227008,8.044670229427423e-06,-2.8987184588824543e-06,1.7150722563129603e-05,0.0,0.0,135340.15,610.3285882685598,924949.0,2675.687407987554,1060289.15,2760.179275522943,-195994.65,2785.206985859211,0.9999913569576491,8.64304235090949e-06,0.9999930699679009,4.769584822943296e-06,0.9999922201081406,4.7705757873451745e-06,-1.7130102517859402e-06,1.0186069978796626e-05,0.0,0.0,722.15,1.6563672997191639,617.75,4.807272451302568,2826.75,9.668144926292193,26397.35,92.78805149371324,6.0,0.0,1.5371039159774713,0.05133078974091034,1.5371039159774713,0.05133078974091034,1.5412681711352842,0.004358575414184685,1.0992752816250715,0.004239509283483616,1.1347855408432803,0.009230868445489098,1.147618978056385,0.006239292745409835,1.1365390702714337,0.003149401978748045,1.2040925423268,0.0029031922845365187,0.0,0.0,18438.45,1438.9348774171015,1044099.65,2732.1946068807797
h2_buffer_B120_both,27308.4,87.62772332279788,509.5,58.79704163700039,27817.9,90.14604816629509,148167.6,228.1142419236924,0.9999165866812925,6.223914378079453e-05,0.9999834299917151,1.6570008285004026e-05,0.9999498980722432,3.175580163118832e-05,-6.684331042243196e-05,6.552683919129104e-05,0.0,0.0,9959.75,74.32400175476366,816870.5,2520.425452285055,826830.25,2534.9731347844618,-647680.5,2393.7184808973443,1.0000872395232416,6.52297437191683e-05,1.0000173340266945,1.733402669440379e-05,1.000052290504533,3.31415140695458e-05,6.990549654719568e-05,6.866271318035847e-05,0.0,0.0,146972.5,274.2296147007965,87938.0,239.9798237133157,234910.5,400.8501327770374,273875.25,463.236564976877,0.9999854431116806,1.4556888319550244e-05,0.9999883418301394,8.02374140829862e-06,0.999986881227008,8.044670229427423e-06,-2.8987184588824543e-06,1.7150722563129603e-05,0.0,0.0,184240.65,283.84416846869357,905318.0,2521.256328437115,1089558.65,2678.328979513158,-225637.65,2638.1453974884466,0.9999913569576491,8.64304235090949e-06,0.9999930699679009,4.769584822943296e-06,0.9999922201081406,4.7705757873451745e-06,-1.7130102517859402e-06,1.0186069978796626e-05,0.0,0.0,721.15,1.5865802350039748,556.45,5.422407214512759,2755.05,12.9280346127077,24206.2,64.89086384481502,6.0,0.0,1.7404569443091318,0.04459270593615093,1.7404569443091318,0.04459270593615093,1.5392771337942324,0.0022855715814422486,1.0645935913325828,0.004744965094472177,1.1964769889370075,0.003023981001201016,1.1875595980727403,0.0016850670778499526,1.1690401059995206,0.001087178492612445,1.2084530024207552,0.0009147234581605377,11628.4,33.20164865912851,797.35,2292.8280173699995,1061740.75,2644.8609195102567
h2_buffer_B120_d,22000.05,115.77008692367751,533.5,72.10108036273579,22533.55,148.55283438986675,153396.2,255.71477325950178,0.9999165866812925,6.223914378079453e-05,0.9999750673892731,1.8163483907732863e-05,0.999945710116803,3.168411437458226e-05,-5.848070798055161e-05,6.650218190641603e-05,0.0,0.0,5779.8,87.0499130868093,868264.5,2383.955853860951,874044.3,2378.2508898901187,-695445.05,2234.0793976785126,1.0000872395232416,6.52297437191683e-05,1.000025980058166,1.8959074220516827e-05,1.000056625889949,3.3064972663485074e-05,6.125946507563595e-05,6.966307223636691e-05,0.0,0.0,129312.0,253.8736216889688,90354.0,367.63211016048683,219666.0,516.7886924378065,289669.5,560.986666039117,0.9999854431116806,1.4556888319550244e-05,0.9999883418301394,8.02374140829862e-06,0.999986881227008,8.044670229427423e-06,-2.8987184588824543e-06,1.7150722563129603e-05,0.0,0.0,157091.85,318.96904877894934,959152.0,2370.153625933624,1116243.85,2486.783532656083,-252379.35,2431.149336462943,0.9999913569576491,8.64304235090949e-06,0.9999930699679009,4.769584822943296e-06,0.9999922201081406,4.7705757873451745e-06,-1.7130102517859402e-06,1.0186069978796626e-05,0.0,0.0,721.25,1.5958416357257363,666.1,5.5107072809978,2987.25,11.947224958563655,24216.45,67.54018199716754,6.0,0.0,1.9564316203421057,0.055980097225593,1.9824243592440756,0.09068953754946474,1.539718535821157,0.002516690387392581,1.0980759041954111,0.0045170897824953595,1.193910055058075,0.002833518248304214,1.1835462441890294,0.002174870906022509,1.1672824590389026,0.0011994159104718612,1.2137103433389134,0.001447506585604685,6344.05,87.10303865024034,-31172.2,2797.61948580725,1093710.3,2469.2059453448387
h2_buffer_B240_both,39119.1,85.20637176569403,518.5,59.28199779998895,39637.6,95.35706857027311,136362.4,230.02739424960433,0.9999165866812925,6.223914378079453e-05,0.9999834299917151,1.6570008285004026e-05,0.9999498980722432,3.175580163118832e-05,-6.684331042243196e-05,6.552683919129104e-05,0.0,0.0,14525.95,74.09579414869862,816875.5,2104.9824946140457,831401.45,2107.342287880513,-653266.7,1952.6883939031875,1.0000872395232416,6.52297437191683e-05,1.0000173340266945,1.733402669440379e-05,1.000052290504533,3.31415140695458e-05,6.990549654719568e-05,6.866271318035847e-05,0.0,0.0,175138.55,300.8589412000252,90998.0,194.0219737962414,266136.55,405.0736221257859,243800.7,401.201538145763,0.9999854431116806,1.4556888319550244e-05,0.9999883418301394,8.02374140829862e-06,0.999986881227008,8.044670229427423e-06,-2.8987184588824543e-06,1.7150722563129603e-05,0.0,0.0,228783.6,305.3792585932234,908392.0,2109.1137575069915,1137175.6,2290.028544294635,-273103.6,2239.627904245187,0.9999913569576491,8.64304235090949e-06,0.9999930699679009,4.769584822943296e-06,0.9999922201081406,4.7705757873451745e-06,-1.7130102517859402e-06,1.0186069978796626e-05,0.0,0.0,713.9,1.325657731487518,441.55,5.159801607773204,2645.75,11.451930427937278,23191.85,58.4560687498246,6.0,0.0,1.7327715778773096,0.03647467613930844,1.7327715778773096,0.03647467613930844,1.4810395150316595,0.0024111175189956264,1.0910274617654818,0.004045786116774358,1.194365207898913,0.002429052561474875,1.2014426971543664,0.002215646072373077,1.1644043927497472,0.0009809495371662432,1.2140318731163755,0.001068102653706224,23448.1,41.19835842411816,-34999.9,2121.74409005521,1097538.0,2263.5792046644788
h2_buffer_B240_d,28308.2,126.56154317377114,539.5,72.84617896275469,28847.7,156.4417850360417,146963.05,259.34282812524367,0.9999082616729675,6.993760359185901e-05,0.9999750673892731,1.8163483907732863e-05,0.9999415256662214,3.5433266170049405e-05,-6.680571630555687e-05,7.390498249929624e-05,0.0,0.0,5974.1,86.92516139881783,904002.0,2209.4865562173627,909976.1,2191.582116453294,-732648.85,2044.826101569005,1.000095980781983,7.332866714054914e-05,1.000025980058166,1.8959074220516827e-05,1.0000609949916615,3.6981768812096116e-05,7.00007238168987e-05,7.745335814667283e-05,0.0,0.0,142269.1,407.1668861264316,94287.0,356.30567893608617,236556.1,620.0150333491497,274320.15,570.251958509753,0.9999854431116806,1.4556888319550244e-05,0.9999883418301394,8.02374140829862e-06,0.999986881227008,8.044670229427423e-06,-2.8987184588824543e-06,1.7150722563129603e-05,0.0,0.0,176551.4,438.2281753655406,998828.5,2176.8238904422205,1175379.9,2353.614752829538,-311365.65,2272.794356218331,0.9999913569576491,8.64304235090949e-06,0.9999930699679009,4.769584822943296e-06,0.9999922201081406,4.7705757873451745e-06,-1.7130102517859402e-06,1.0186069978796626e-05,0.0,0.0,713.05,1.4680366408735732,656.85,6.0612118816029055,3099.95,10.53102559108085,23187.6,61.866639254379756,6.0,0.0,1.7695270698067804,0.05166821169030403,1.6223857122087257,0.04960419384981898,1.4828023375776453,0.002599766281290669,1.1065027465220902,0.004206084690600811,1.2028116412509116,0.001973213449883021,1.2042881619231225,0.00134509141978867,1.1647534263357135,0.0011579049023088409,1.2155484980757978,0.0013758808994540578,12658.2,96.7463476802804,-83994.1,2856.2213977837737,1146532.2,2354.197575440628
h2_buffer_B360_d,34488.8,149.36721968286554,585.0,108.30147979744224,35073.8,227.569626129768,140739.95,297.23532653792176,0.9999082616729675,6.993760359185901e-05,0.9999750673892731,1.8163483907732863e-05,0.9999415256662214,3.5433266170049405e-05,-6.680571630555687e-05,7.390498249929624e-05,0.0,0.0,6328.8,103.32046722391658,934735.5,2569.3621443750158,941064.3,2514.134037481108,-764990.55,2400.890313453916,1.000095980781983,7.332866714054914e-05,1.000025980058166,1.8959074220516827e-05,1.0000609949916615,3.6981768812096116e-05,7.00007238168987e-05,7.745335814667283e-05,0.0,0.0,156897.45,365.2450617483817,100714.0,336.9947680368501,257611.45,553.2639775150651,254380.55,558.4677037969254,0.9999854431116806,1.4556888319550244e-05,0.9999883418301394,8.02374140829862e-06,0.999986881227008,8.044670229427423e-06,-2.8987184588824543e-06,1.7150722563129603e-05,0.0,0.0,197715.05,479.6357909640234,1036034.5,2556.5356364671125,1233749.55,2635.7565342351245,-369870.05,2541.376050256197,0.9999913569576491,8.64304235090949e-06,0.9999930699679009,4.769584822943296e-06,0.9999922201081406,4.7705757873451745e-06,-1.7130102517859402e-06,1.0186069978796626e-05,0.0,0.0,700.9,1.4325171074573215,656.15,6.927168100655343,3212.55,13.712743784715828,22278.5,62.055726229694,6.0,0.0,1.8899858900200386,0.06339100084806878,1.59337845247471,0.06543680125909253,1.4421750722340485,0.0024189506295125675,1.1264902453259658,0.005031889528342554,1.2093099154583384,0.002402137832032722,1.2001784560837379,0.0012552750506793547,1.1692779419608625,0.0009336171042193484,1.2181335688938684,0.001498066539337893,18884.3,174.8976858803904,-136137.65,3482.7494222653268,1198675.75,2705.275103118471
h2_buffer_B480_d,40500.9,149.57159700818457,585.0,108.30147979744224,41085.9,227.3605518253237,134738.1,298.0766229644569,0.9999082616729675,6.993760359185901e-05,0.9999750673892731,1.8163483907732863e-05,0.9999415256662214,3.5433266170049405e-05,-6.680571630555687e-05,7.390498249929624e-05,0.0,0.0,6853.4,95.56858655877514,964136.0,2689.1848109359103,970989.4,2635.07037696889,-796101.4,2510.1599219341037,1.000095980781983,7.332866714054914e-05,1.000025980058166,1.8959074220516827e-05,1.0000609949916615,3.6981768812096116e-05,7.00007238168987e-05,7.745335814667283e-05,0.0,0.0,171154.1,336.2424947313451,105026.5,348.73023430122834,276180.6,536.1420049517529,236938.4,540.932189543395,0.9999854431116806,1.4556888319550244e-05,0.9999883418301394,8.02374140829862e-06,0.999986881227008,8.044670229427423e-06,-2.8987184588824543e-06,1.7150722563129603e-05,0.0,0.0,218508.4,419.49281657484283,1069747.5,2723.220894359052,1288255.9,2822.3936741895723,-424424.9,2734.734287006019,0.9999913569576491,8.64304235090949e-06,0.9999930699679009,4.769584822943296e-06,0.9999922201081406,4.7705757873451745e-06,-1.7130102517859402e-06,1.0186069978796626e-05,0.0,0.0,688.7,1.8094779706633035,664.35,7.1153189076734105,3336.4,13.402356430670576,21329.2,67.40496623902582,6.0,0.0,1.8241846430589757,0.06058959000075388,1.5947518342623228,0.06631445784661746,1.4087123567242226,0.00201609273169856,1.1468089084011361,0.005470279072232383,1.2179714193375912,0.0026245408027521042,1.2027427771718706,0.0012169688784745899,1.1712128085531812,0.0010139808748109232,1.2237401295316528,0.001469518813353254,24896.4,173.40881723469775,-184631.9,3670.807555565941,1247170.0,2908.1153464780346
